_id,point_id,opc_tag,describe,device_description_chinese,serial,instrument,device_name_chinese,belong_co,status,value_min,value_max,unit,last_monitor_time,thickener_id,mixer_id,value_max_2,value_min_2
{'$oid': '604c8a451349e5c153ca691e'},1,SOUTHEASTORE_PRJ_OS::AI-311TH01/MonAnalog.PV_Out#Value,#1 Thickener Overflow Turbidity,#1浓密机溢流水浊度,AI-311TH01,Turbidity Indicate,浊度计,METSO,normal,0,30,ppm,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a451349e5c153ca691f'},2,SOUTHEASTORE_PRJ_OS::AI-311TH02/MonAnalog.PV_Out#Value,#2 Thickener Overflow Turbidity,#2浓密机溢流水浊度,AI-311TH02,Turbidity Indicate,浊度计,METSO,normal,0,30,ppm,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a451349e5c153ca6920'},3,SOUTHEASTORE_PRJ_OS::DI-210AG01/MonAnalog.PV_Out#Value,#1 Mixer Pump Discharge Concentration,#1搅拌机出料浓度,DI-210AG01,Density Indicator,浓度计,METSO,normal,0,75,%,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '604c8a451349e5c153ca6921'},4,SOUTHEASTORE_PRJ_OS::DI-210AG02/MonAnalog.PV_Out#Value,#2 Mixer Pump Discharge Concentration,#2搅拌机出料浓度,DI-210AG02,Density Indicator,浓度计,METSO,normal,0,75,%,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a451349e5c153ca6922'},5,SOUTHEASTORE_PRJ_OS::DI-311TH01A/MonAnalog.PV_Out#Value,#1 Thickener Feed Concentration,#1浓密机进料浓度,DI-311TH01A,Density Indicator,浓度计,METSO,normal,0,50,%,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a451349e5c153ca6923'},6,SOUTHEASTORE_PRJ_OS::DI-311TH02A/MonAnalog.PV_Out#Value,#2 Thickener Feed Concentration,#2浓密机进料浓度,DI-311TH02A,Density Indicator,浓度计,METSO,normal,0,50,%,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a451349e5c153ca6924'},7,SOUTHEASTORE_PRJ_OS::DIC-311TH01B_Back/MonAnalog.PV#Value,#1 Thickener Discharge Concentration,#1浓密机出料浓度-充填,DIC-311TH01B,Density Indicator,浓度计,METSO,normal,-99999999,70,%,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a451349e5c153ca6925'},8,SOUTHEASTORE_PRJ_OS::DIC-311TH02B_Back/MonAnalog.PV#Value,#2 Thickener Discharge Concentration,#2浓密机出料浓度-充填,DIC-311TH02B,Density Indicator,浓度计,METSO,normal,-99999999,70,%,{'$date': '2021-06-15T06:24:40Z'},2,0,0,0
{'$oid': '604c8a461349e5c153ca6926'},9,SOUTHEASTORE_PRJ_OS::FI-210AG01/MonAnalog.PV#Value,#1 Mixer Discharge flow,#1搅拌机出料流量,FI-210AG01,Flow Indicator,流量计,METSO,normal,-1,185,m3/h,{'$date': '2019-11-25T15:24:40Z'},0,1,0,0
{'$oid': '604c8a461349e5c153ca6927'},10,SOUTHEASTORE_PRJ_OS::FI-210AG02/MonAnalog.PV#Value,#2 Mixer Discharge Flow,#2搅拌机出料流量,FI-210AG02,Flow Indicator,流量计,METSO,normal,-1,185,m3/h,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a461349e5c153ca6928'},11,SOUTHEASTORE_PRJ_OS::FI-311TH01A/MonAnalog.PV#Value,#1 Thickener Feed Flow,#1浓密机进料流量,FI-311TH01A,Flow Indicator,流量计,METSO,normal,0,1500,m3/h,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a461349e5c153ca6929'},12,SOUTHEASTORE_PRJ_OS::FI-311TH02A/MonAnalog.PV#Value,#2 Thickener Feed Flow,#2浓密机进料流量,FI-311TH02A,Flow Indicator,流量计,METSO,normal,0,1500,m3/h,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a461349e5c153ca692a'},13,SOUTHEASTORE_PRJ_OS::FIC-311PS05/PID.PV#Value,#1 Thickener Dilution Water Flow DN100mm,#1浓密机稀释水流量DN100mm,FIC-311PS05,Flow Indicator,流量计,METSO,normal,-2,100,m3/h,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a461349e5c153ca692b'},14,SOUTHEASTORE_PRJ_OS::FIC-311PS07/PID.PV#Value,#2 Thickener Dilution Water Flow DN100mm,#2浓密机稀释水流量DN100mm,FIC-311PS07,Flow Indicator,流量计,METSO,normal,-2,70,m3/h,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a461349e5c153ca692c'},15,SOUTHEASTORE_PRJ_OS::FIC-311PS08/PID.PV#Value,#1 Thickener Dilution Water Flow DN40mm,#1浓密机稀释水流量DN40mm,FIC-311PS08,Flow Indicator,流量计,METSO,normal,-2,100,m3/h,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a461349e5c153ca692d'},16,SOUTHEASTORE_PRJ_OS::FIC-311PS10/PID.PV#Value,#2 Thickener Dilution Water Flow DN40mm,#2浓密机稀释水流量DN40mm,FIC-311PS10,Flow Indicator,流量计,METSO,normal,-2,70,m3/h,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a461349e5c153ca692e'},17,SOUTHEASTORE_PRJ_OS::FI-311TH01B/MonAnalog.PV#Value,#1 Thickener Discharge Flow,#1浓密机底流流量,FIC-311TH01B,Flow Indicator,流量计,METSO,normal,-1,300,m3/h,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a461349e5c153ca692f'},18,SOUTHEASTORE_PRJ_OS::FI-311TH02B/MonAnalog.PV#Value,#2 Thickener Discharge Flow,#2浓密机底流流量,FIC-311TH02B,Flow Indicator,流量计,METSO,normal,-1,300,m3/h,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a461349e5c153ca6930'},19,SOUTHEASTORE_PRJ_OS::HIC-311PS01A/Valve.Status2,#1 Thickener Discharge Pump 1 Inlet Valve,#1浓密机1号泵入料阀门,HIC-311PS01A,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a471349e5c153ca6931'},20,SOUTHEASTORE_PRJ_OS::HIC-311PS01B/Valve.Status2,#1 Thickener Discharge Pump 1 Discharge Valve,#1浓密机1号泵出料阀门,HIC-311PS01B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a471349e5c153ca6932'},21,SOUTHEASTORE_PRJ_OS::HIC-311PS01C/Valve.Status2,#1 Thickener Discharge Pump 1 SY1-1 Water Addition Valve DN100mm,#1浓密机1号泵稀释水阀门DN100mm,HIC-311PS01C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a471349e5c153ca6933'},22,SOUTHEASTORE_PRJ_OS::HIC-311PS01D/Valve.Status2,#1 Thickener Discharge Pump 1 SY2-1 Water Addition Valve DN40mm,#1浓密机1号泵稀释水阀门DN40mm,HIC-311PS01D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a471349e5c153ca6934'},23,SOUTHEASTORE_PRJ_OS::HIC-311PS02A/Valve.Status2,#1 Thickener Discharge Pump 2 Inlet Valve,#1浓密机2号泵入料阀门,HIC-311PS02A,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a471349e5c153ca6935'},24,SOUTHEASTORE_PRJ_OS::HIC-311PS02B/Valve.Status2,#1 Thickener Discharge Pump 2 Discharge Valve,#1浓密机2号泵出料阀门,HIC-311PS02B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a471349e5c153ca6936'},25,SOUTHEASTORE_PRJ_OS::HIC-311PS02C/Valve.Status2,#1 Thickener Discharge Pump 2 SY1-1 Water Addition Valve DN100mm,#1浓密机2号泵稀释水阀门DN100mm,HIC-311PS02C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a471349e5c153ca6937'},26,SOUTHEASTORE_PRJ_OS::HIC-311PS02D/Valve.Status2,#1 Thickener Discharge Pump 2 SY2-1 Water Addition Valve DN40mm,#1浓密机2号泵稀释水阀门DN40mm,HIC-311PS02D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a471349e5c153ca6938'},27,SOUTHEASTORE_PRJ_OS::HIC-311PS03A/Valve.Status2,#2 Thickener Discharge Pump 1 Inlet Valve,#2浓密机1号泵入料阀门,HIC-311PS03A,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a471349e5c153ca6939'},28,SOUTHEASTORE_PRJ_OS::HIC-311PS03B/Valve.Status2,#2 Thickener Discharge Pump 1 Discharge Valve,#2浓密机1号泵出料阀门,HIC-311PS03B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a471349e5c153ca693a'},29,SOUTHEASTORE_PRJ_OS::HIC-311PS03C/Valve.Status2,#2 Thickener Discharge Pump 1 SY1-1 Water Addition Valve DN100mm,#2浓密机1号泵稀释水阀门DN100mm,HIC-311PS03C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca693b'},30,SOUTHEASTORE_PRJ_OS::HIC-311PS03D/Valve.Status2,#2 Thickener Discharge Pump 1 SY2-1 Water Addition Valve DN40mm,#2浓密机1号泵稀释水阀门DN40mm,HIC-311PS03D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca693c'},31,SOUTHEASTORE_PRJ_OS::HIC-311PS04A/Valve.Status2,#2 Thickener Discharge Pump 2 Inlet Valve,#2浓密机2号泵入料阀门,HIC-311PS04A,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca693d'},32,SOUTHEASTORE_PRJ_OS::HIC-311PS04B/Valve.Status2,#2 Thickener Discharge Pump 2 Discharge Valve,#2浓密机2号泵出料阀门,HIC-311PS04B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca693e'},33,SOUTHEASTORE_PRJ_OS::HIC-311PS04C/Valve.Status2,#2 Thickener Discharge Pump 2 SY1-1 Water Addition Valve DN100mm,#2浓密机2号泵稀释水阀门DN100mm,HIC-311PS04C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca693f'},34,SOUTHEASTORE_PRJ_OS::HIC-311PS04D/Valve.Status2,#2 Thickener Discharge Pump 2 SY2-1 Water Addition Valve DN40mm,#2浓密机2号泵稀释水阀门DN40mm,HIC-311PS04D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca6940'},35,SOUTHEASTORE_PRJ_OS::HIC-311TH01B/Valve.Status2,#1 Thickener Pumps Discharge Valve 2 - Tailing Pump,#1浓密机排尾阀门,HIC-311TH01B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a481349e5c153ca6941'},36,SOUTHEASTORE_PRJ_OS::HIC-311TH01C/Valve.Status2,#1 Thickener Pumps Discharge Valve 3 - CEMENT MIXER 1,#1浓密机充填阀门,HIC-311TH01C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a481349e5c153ca6942'},37,SOUTHEASTORE_PRJ_OS::HIC-311TH01D/Valve.Status2,#1 Thickener Recirc Valve,#1浓密机底流循环阀门,HIC-311TH01D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a481349e5c153ca6943'},38,SOUTHEASTORE_PRJ_OS::HIC-311TH02B/Valve.Status2,#2 Thickener Pumps Discharge Valve 2 - Tailing Pump #1,#2浓密机排尾阀门,HIC-311TH02B,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca6944'},39,SOUTHEASTORE_PRJ_OS::HIC-311TH02C/Valve.Status2,#2 Thickener Pumps Discharge Valve 3 - CEMENT MIXER 2,#2浓密机充填阀门,HIC-311TH02C,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a481349e5c153ca6945'},40,SOUTHEASTORE_PRJ_OS::HIC-311TH02D/Valve.Status2,#2 Thickener Recirc Valve,#2浓密机底流循环阀门,HIC-311TH02D,Valve,阀门,METSO,normal,-1,2,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a491349e5c153ca6946'},41,SOUTHEASTORE_PRJ_OS::HIS-210AG01-01/DriveSpeedContr.RbkOut#Value,#1 Mixer First Stage Stirring Speed,#1搅拌机一段旋桨转速,HIS-210AG01-01,Mixer,搅拌机,METSO,normal,-1,55,%,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '604c8a491349e5c153ca6947'},42,SOUTHEASTORE_PRJ_OS::HIS-210AG01-02/DriveSpeedContr.RbkOut#Value,#1 Mixer Secondary Stage Stirring Speed,#1搅拌机二段旋桨转速,HIS-210AG01-02,Mixer,搅拌机,METSO,normal,-1,55,%,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '604c8a491349e5c153ca6948'},43,SOUTHEASTORE_PRJ_OS::HIS-210AG02-01/DriveSpeedContr.RbkOut#Value,#2 Mixer First Stage Stirring Speed,#2搅拌机一段旋桨转速,HIS-210AG02-01,Mixer,搅拌机,METSO,normal,-1,55,%,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a491349e5c153ca6949'},44,SOUTHEASTORE_PRJ_OS::HIS-210AG02-02/DriveSpeedContr.RbkOut#Value,#2 Mixer Secondary Stage Stirring Speed,#2搅拌机二段旋桨转速,HIS-210AG02-02,Mixer,搅拌机,METSO,normal,-1,55,%,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a491349e5c153ca694a'},45,SOUTHEASTORE_PRJ_OS::HIS-311TH01/DriveSpeedContr.RbkOut#Value,#1 Thickener Rake Speed,#1浓密机耙架转速,HIS-311TH01,Rake,杷架,METSO,normal,-1,60,rpm,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a491349e5c153ca694b'},46,SOUTHEASTORE_PRJ_OS::HIS-311TH02/DriveSpeedContr.RbkOut#Value,#2 Thickener Rake Speed,#2浓密机耙架转速,HIS-311TH02,Rake,杷架,METSO,normal,-1,60,rpm,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a491349e5c153ca694c'},47,NULL,#1 Mixer Slurry concentration(Calculation),#1搅拌机膏体浓度(计算值),NULL,METSO,normal,0,100,%,{'$date': '2019-11-25T12:24:40Z'},0,1,Mixer,搅拌机,0,0
{'$oid': '604c8a491349e5c153ca694d'},48,NULL,#2 Mixer Slurry concentration(Calculation),#2搅拌机膏体浓度(计算值),NULL,METSO,normal,0,100,%,{'$date': '2019-11-25T12:24:40Z'},0,2,Mixer,搅拌机,0,0
{'$oid': '604c8a491349e5c153ca694e'},49,SOUTHEASTORE_PRJ_OS::FIC-311TH01B/OCS.PV_Out#Value,#1 Thickener Discharge Flow,#1浓密机底流流量(跟踪值),FIC-311TH01B,Flow Indicator,流量计,METSO,normal,-1,400,m3/h,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a491349e5c153ca694f'},50,SOUTHEASTORE_PRJ_OS::FIC-311TH02B/OCS.PV_Out#Value,#2 Thickener Discharge Flow,#2浓密机底流流量(跟踪值),FIC-311TH02B,Flow Indicator,流量计,METSO,normal,-1,400,m3/h,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a491349e5c153ca6950'},51,SOUTHEASTORE_PRJ_OS::LI-210BN01/MonAnalog.PV_Out#Value,#1 Cement Silo Level,#1水泥仓物料高度,LI-210BN01,Level Indicator,液位计,METSO,normal,0,100,%,{'$date': '2019-11-25T12:24:40Z'},0,0,0,0
{'$oid': '604c8a4a1349e5c153ca6951'},52,SOUTHEASTORE_PRJ_OS::LI-210BN02/MonAnalog.PV_Out#Value,#2 Cement Silo Level,#2水泥仓物料高度,LI-210BN02,Level Indicator,液位计,METSO,normal,0,100,%,{'$date': '2019-11-25T12:24:40Z'},0,0,0,0
{'$oid': '604c8a4a1349e5c153ca6952'},53,SOUTHEASTORE_PRJ_OS::LI-311TH01/MonAnalog.PV_Out#Value,#1 Thickener Mud Level,#1浓密机泥层高度,LI-311TH01,Level Indicator,液位计,METSO,normal,0,20,m,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4a1349e5c153ca6953'},54,SOUTHEASTORE_PRJ_OS::LI-311TH02/MonAnalog.PV_Out#Value,#2 Thickener Mud Level,#2浓密机泥层高度,LI-311TH02,Level Indicator,液位计,METSO,normal,0,20,m,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4a1349e5c153ca6954'},55,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/Flow_SP.PV_In#Value,#1 Thickener Flocculant Flow,#1浓密机絮凝剂流量,FI-311FL01D,Flow Indicator,流量计,METSO,normal,0,70,m3/h,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4a1349e5c153ca6955'},56,SOUTHEASTORE_PRJ_OS::Dosing$Pump$C/Flow_SP.PV_In#Value,#2 Thickener Flocculant Flow,#2浓密机絮凝剂流量,FI-311FL01C,Flow Indicator,流量计,METSO,normal,0,70,m3/h,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4a1349e5c153ca6956'},57,SOUTHEASTORE_PRJ_OS::HIS-210FDM01/Motor.RbkOut#Value,#1 Instant Cement Delivery,#1 搅拌机水泥添加速度(实际值),HIS-210FDM01,Cement Conveyor Belt,水泥传送带,METSO,normal,0,200,t/h,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '604c8a4a1349e5c153ca6957'},58,SOUTHEASTORE_PRJ_OS::HIS-210FDM02/Motor.RbkOut#Value,#2 Instant Cement Delivery ,#2 搅拌机水泥添加速度(实际值),HIS-210FDM02,Cement Conveyor Belt,水泥传送带,METSO,normal,0,200,t/h,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a4a1349e5c153ca6958'},59,SOUTHEASTORE_PRJ_OS::OI-311TH01-01/MonAnalog.PV#Value,#1 Thickener Rake Torque-1,#1浓密机耙架扭矩值-1,OI-311TH01-01,Rake,耙架,METSO,normal,20,60,-99999999,2,%,{'$date': '2019-11-25T12:24:40Z'},1,0
{'$oid': '604c8a4a1349e5c153ca6959'},60,SOUTHEASTORE_PRJ_OS::OI-311TH01-02/MonAnalog.PV#Value,#1 Thickener Rake Torque-2,#1浓密机耙架扭矩值-2,OI-311TH01-02,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},1,0,-99999999,2
{'$oid': '604c8a4a1349e5c153ca695a'},61,SOUTHEASTORE_PRJ_OS::OI-311TH01-03/MonAnalog.PV#Value,#1 Thickener Rake Torque-3,#1浓密机耙架扭矩值-3,OI-311TH01-03,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},1,0,-99999999,2
{'$oid': '604c8a4a1349e5c153ca695b'},62,SOUTHEASTORE_PRJ_OS::OI-311TH01-04/MonAnalog.PV#Value,#1 Thickener Rake Torque-4,#1浓密机耙架扭矩值-4,OI-311TH01-04,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},1,0,2,-99999999
