_id,point_id,opc_tag,describe,device_description_chinese,serial,instrument,device_name_chinese,belong_co,status,value_min,value_max,unit,last_monitor_time,thickener_id,mixer_id,value_max_2,value_min_2
{'$oid': '604c8a4b1349e5c153ca695c'},63,SOUTHEASTORE_PRJ_OS::OI-311TH02-01/MonAnalog.PV#Value,#2 Thickener Rake Torque-1,#2浓密机耙架扭矩值-1,OI-311TH02-01,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},2,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca695d'},64,SOUTHEASTORE_PRJ_OS::OI-311TH02-02/MonAnalog.PV#Value,#2 Thickener Rake Torque-2,#2浓密机耙架扭矩值-2,OI-311TH02-02,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},2,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca695e'},65,SOUTHEASTORE_PRJ_OS::OI-311TH02-03/MonAnalog.PV#Value,#2 Thickener Rake Torque-3,#2浓密机耙架扭矩值-3,OI-311TH02-03,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},2,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca695f'},66,SOUTHEASTORE_PRJ_OS::OI-311TH02-04/MonAnalog.PV#Value,#2 Thickener Rake Torque-4,#2浓密机耙架扭矩值-4,OI-311TH02-04,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},2,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca6960'},67,SOUTHEASTORE_PRJ_OS::PI-311TH01/MonAnalog.PV#Value,#1 Thickener Mud Pressure,#1浓密机泥层压力,PI-311TH01,Pressure Indicator,压力计,METSO,normal,-1,90,Mpa,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4b1349e5c153ca6961'},68,SOUTHEASTORE_PRJ_OS::PI-311TH02/MonAnalog.PV#Value,#2 Thickener Mud Pressure,#2浓密机泥层压力,PI-311TH02,Pressure Indicator,压力计,METSO,normal,-1,90,MPa,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4b1349e5c153ca6964'},69,SOUTHEASTORE_PRJ_OS::DIC-311TH01B_Back/BackFillingDiCtr.DI_SP#Value,#1 Thickener Discharge Concentration(write tag),#1浓密机出料浓度(DCS系统设定值),DIC-311TH01B,Density Controller,浓度控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4b1349e5c153ca6965'},70,SOUTHEASTORE_PRJ_OS::DIC-311TH02B_Back/BackFillingDiCtr.DI_SP#Value,#2 Thickener Discharge Concentration(write tag),#2浓密机出料浓度(DCS系统设定值),DIC-311TH02B,Density Controller,浓度控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4c1349e5c153ca696a'},73,SOUTHEASTORE_PRJ_OS::FIC-311TH01B/PID.SP_Int,#1 Thickener Discharge Flow(write tag),#1浓密机底流流量(DCS系统设定值),FIC-311TH01B,Flow Controller,流量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4c1349e5c153ca696b'},74,SOUTHEASTORE_PRJ_OS::FIC-311TH02B/PID.SP_Int,#2 Thickener Discharge Flow(write tag),#2浓密机底流流量(DCS系统设定值),FIC-311TH02B,Flow Controller,流量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4c1349e5c153ca696c'},75,SOUTHEASTORE_PRJ_OS::HIS-210FDM01/CementRatioSP.In01#Value,#1 Mixer Cement Sand Ratio(write tag),#1搅拌机灰砂比(DCS系统设定值),HIS-210FDM01,Cement Ratio Controller,灰砂比控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '604c8a4c1349e5c153ca696d'},76,SOUTHEASTORE_PRJ_OS::HIS-210FDM02/CementRatioSP.In01#Value,#2 Mixer Cement Sand Ratio(write tag),#2搅拌机灰砂比(DCS系统设定值),HIS-210FDM02,Cement Ratio Controller,灰砂比控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a4d1349e5c153ca6971'},77,SOUTHEASTORE_PRJ_OS::Concentration/Concentration.PV_In#Value,Thickener flocculant Concentration,浓密机絮凝剂浓度,DI-311FL01D,Concentration Indicator,浓度计,METSO,normal,0,3,%,{'$date': '2019-11-25T12:24:40Z'},0,0,0,0
{'$oid': '604c8a4e1349e5c153ca6980'},78,NULL,#1 Thickener Discharge Concentration(write tag),#1浓密机出料浓度(OPC写入),DIC-311TH01B,Density Controller,浓度控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4e1349e5c153ca6981'},79,NULL,#2 Thickener Discharge Concentration(write tag),#2浓密机出料浓度(OPC写入),DIC-311TH02B,Density Controller,浓度控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4e1349e5c153ca6986'},80,SOUTHEASTORE_PRJ_OS::FIC-311TH01B/OCS.SP,#1 Thickener Discharge Flow(write tag),#1浓密机底流流量(OPC写入),FIC-311TH01B,Flow Controller,流量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4e1349e5c153ca6987'},81,SOUTHEASTORE_PRJ_OS::FIC-311TH02B/OCS.SP,#2 Thickener Discharge Flow(write tag),#2浓密机底流流量(OPC写入),FIC-311TH02B,Flow Controller,流量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4e1349e5c153ca6988'},82,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/OCS.SP,#1 Thickener flocculant Flow(write tag),#1絮凝剂流量(OPC写入),FI-311FL01D,Flocculant Addition Controller,絮凝剂添加量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4e1349e5c153ca6989'},83,SOUTHEASTORE_PRJ_OS::Dosing$Pump$C/OCS.SP,#2 Thickener flocculant Flow(write tag),#2絮凝剂流量(OPC写入),FI-311FL01C,Flocculant Addition Controller,絮凝剂添加量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '6082815b677f000062003ba4'},71,SOUTHEASTORE_PRJ_OS::HIS-210FDM01/Motor.SP_Out#Value,#1 Instant Cement Delivery,#1 搅拌机水泥添加速度(DCS系统设定值),HIS-210FDM01,Cement Conveyor Belt,水泥传送带,METSO,normal,0,200,t/h,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '60828192677f000062003ba5'},72,SOUTHEASTORE_PRJ_OS::HIS-210FDM02/Motor.SP_Out#Value,#2 Instant Cement Delivery,#2 搅拌机水泥添加速度(DCS系统设定值),HIS-210FDM01,Cement Conveyor Belt,水泥传送带,METSO,normal,0,200,t/h,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '6087c8678c53000092004fb2'},84,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/OCS.PV_Out#Value,#1 Thickener flocculant Flow,#1絮凝剂流量(跟踪值),FI-311FL01D,Flocculant,絮凝剂添加量控制,USTB1001,normal,0,20,g/T,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '6087c8878c53000092004fb3'},85,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/OCS.PV_Out#Value,#2 Thickener flocculant Flow,#2絮凝剂流量(跟踪值),FI-311FL02D,Flocculant,絮凝剂添加量控制,USTB1001,normal,0,20,g/T,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '6090017e711a0000ca005bf5'},86,NULL,#1 Mixer Cement Sand Ratio(Calculation),#1搅拌机灰砂比(计算值),HIS-210FDM01,Cement Ratio Controller,灰砂比控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '609001cc711a0000ca005bf6'},87,NULL,#2 Mixer Cement Sand Ratio(Calculation),#2搅拌机灰砂比(计算值),HIS-210FDM02,Cement Ratio Controller,灰砂比控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '609938cd0166000071003502'},88,SOUTHEASTORE_PRJ_OS::Dosing$Pump$A/Flow_SP.SP_Out#Value,#1 Thickener flocculant Flow(DCS system setpoint),#1絮凝剂流量(DCS系统设定值),FI-311FL01D,Flocculant Addition Controller,絮凝剂添加量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '609938fa0166000071003503'},89,SOUTHEASTORE_PRJ_OS::Dosing$Pump$C/Flow_SP.SP_Out#Value,#2 Thickener flocculant Flow(DCS system setpoint),#2絮凝剂流量(DCS系统设定值),FI-311FL02D,Flocculant Addition Controller,絮凝剂添加量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '60993b6d0166000071003504'},90,SOUTHEASTORE_PRJ_OS::FI-311TH01C/MonAnalog.PV#Value,#1 Mixer Feed flow,#1搅拌机进料流量,FI-311TH01C,Flow Indicator,流量计,METSO,normal,0,250,m3/h,{'$date': '2019-11-25T15:24:40Z'},0,1,0,0
{'$oid': '60993b990166000071003505'},91,SOUTHEASTORE_PRJ_OS::FI-311TH02C/MonAnalog.PV#Value,#2 Mixer Feed flow,#2搅拌机进料流量,FI-311TH02C,Flow Indicator,流量计,METSO,normal,0,250,m3/h,{'$date': '2019-11-25T15:24:40Z'},0,2,0,0
{'$oid': '60af66ff58630000a7005752'},92,SOUTHEASTORE_PRJ_OS::PI-602PS01A/MonAnalog.PV#Value,#1 Diaphragm pump Inlet pressure,#1隔膜泵进口压力,PI-602PS01A,Pressure Indicator,压力计,METSO,normal,0.2,3,MPa,{'$date': '2019-11-25T15:24:40Z'},0,0,0.02,-99999999
{'$oid': '60af671958630000a7005753'},93,SOUTHEASTORE_PRJ_OS::PI-602PS02A/MonAnalog.PV#Value,#2 Diaphragm pump Inlet pressure,#2隔膜泵进口压力,PI-602PS02A,Pressure Indicator,压力计,METSO,normal,0.2,3,MPa,{'$date': '2019-11-25T15:24:40Z'},0,0,0.02,-99999999
{'$oid': '60af675158630000a7005754'},94,SOUTHEASTORE_PRJ_OS::PI-602PS03A/MonAnalog.PV#Value,#3 Diaphragm pump Inlet pressure,#3隔膜泵进口压力,PI-602PS03A,Pressure Indicator,压力计,METSO,normal,0.2,3,MPa,{'$date': '2019-11-25T15:24:40Z'},0,0,0.02,-99999999
{'$oid': '60af697b58630000a7005755'},95,NULL,#1 Diaphragm pump Bearing temperature,#1隔膜泵轴承温度(最大值),Temperature Indicator,温度计,METSO,normal,-99999999,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS01,0,0
{'$oid': '60af69b758630000a7005756'},96,#2 Diaphragm pump Bearing temperature,#2隔膜泵轴承温度(最大值),Temperature Indicator,温度计,METSO,normal,-99999999,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS02,NULL,0,0
{'$oid': '60af69d658630000a7005757'},97,#3 Diaphragm pump Bearing temperature,#3隔膜泵轴承温度(最大值),Temperature Indicator,温度计,METSO,normal,-99999999,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS03,NULL,0,0
{'$oid': '60af6a6c58630000a7005758'},98,SOUTHEASTORE_PRJ_OS::PI-602PS01/MonAnalog.PV#Value,#1 Diaphragm pump Pipeline pressure,#1隔膜泵管道压力,PI-602PS01,Pressure Indicator,压力计,METSO,normal,-99999999,5,MPa,{'$date': '2019-11-25T15:24:40Z'},0,0,0,0
{'$oid': '60af6a8358630000a7005759'},99,SOUTHEASTORE_PRJ_OS::PI-602PS03/MonAnalog.PV#Value,#3 Diaphragm pump Pipeline pressure,#3隔膜泵管道压力,PI-602PS03,Pressure Indicator,压力计,METSO,normal,-99999999,5,MPa,{'$date': '2019-11-25T15:24:40Z'},0,0,0,0
{'$oid': '60b0a0092b240000690047f2'},100,SOUTHEASTORE_PRJ_OS::FIC-311TH01B/Comms.Heartbeat,Underflow concentration control connection signal,底流浓度控制连接信号,Heartbeat,METSO,normal,-1,3,{'$date': '2019-11-25T15:24:40Z'},0,0,控制器,Controller,NULL,0,0
{'$oid': '60b71e44ac070000cd007374'},101,SOUTHEASTORE_PRJ_OS::TI-602PS01H/MonAnalog.PV#Value,,#1隔膜泵轴承温度1,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS01H,0,0
{'$oid': '60b71e85ac070000cd007375'},102,SOUTHEASTORE_PRJ_OS::TI-602PS01J/MonAnalog.PV#Value,,#1隔膜泵轴承温度2,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS01J,0,0
{'$oid': '60b71eabac070000cd007376'},103,SOUTHEASTORE_PRJ_OS::TI-602PS01K/MonAnalog.PV#Value,,#1隔膜泵轴承温度3,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS01K,0,0
{'$oid': '60b71ed6ac070000cd007377'},104,SOUTHEASTORE_PRJ_OS::TI-602PS01L/MonAnalog.PV#Value,,#1隔膜泵轴承温度4,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS01L,0,0
{'$oid': '60b73f86ac070000cd007379'},105,SOUTHEASTORE_PRJ_OS::TI-602PS02H/MonAnalog.PV#Value,,#2隔膜泵轴承温度1,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS02H,0,0
{'$oid': '60b73fe0ac070000cd00737a'},106,SOUTHEASTORE_PRJ_OS::TI-602PS02J/MonAnalog.PV#Value,,#2隔膜泵轴承温度2,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS02J,0,0
{'$oid': '60b74152ac070000cd00737b'},107,SOUTHEASTORE_PRJ_OS::TI-602PS02K/MonAnalog.PV#Value,,#2隔膜泵轴承温度3,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS02K,0,0
{'$oid': '60b7417cac070000cd00737c'},108,SOUTHEASTORE_PRJ_OS::TI-602PS02L/MonAnalog.PV#Value,,#2隔膜泵轴承温度4,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS02L,0,0
{'$oid': '60b741e6ac070000cd00737d'},109,SOUTHEASTORE_PRJ_OS::TI-602PS03H/MonAnalog.PV#Value,,#3隔膜泵轴承温度1,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS03H,0,0
{'$oid': '60b74211ac070000cd00737e'},110,SOUTHEASTORE_PRJ_OS::TI-602PS03J/MonAnalog.PV#Value,,#3隔膜泵轴承温度2,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS03J,0,0
{'$oid': '60b7422bac070000cd00737f'},111,SOUTHEASTORE_PRJ_OS::TI-602PS03K/MonAnalog.PV#Value,,#3隔膜泵轴承温度3,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS03K,0,0
{'$oid': '60b74251ac070000cd007380'},112,SOUTHEASTORE_PRJ_OS::TI-602PS03L/MonAnalog.PV#Value,,#3隔膜泵轴承温度4,Temperature Indicator,温度计,METSO,normal,0,70,℃,{'$date': '2019-11-25T15:24:40Z'},0,0,TI-602PS03L,0,0
{'$oid': '60c0c824a6310000240067b3'},113,SOUTHEASTORE_PRJ_OS::PSI300.ValueAssay1,,磨矿粒度<74微米,Grinding size Indicator,磨矿粒度分析仪,METSO,normal,0,100,%,{'$date': '2019-11-25T15:24:40Z'},0,0,PSI300,0,0
{'$oid': '60c0c864a6310000240067b4'},114,SOUTHEASTORE_PRJ_OS::PSI300.ValueAssay3,,磨矿粒度>150微米,Grinding size Indicator,磨矿粒度分析仪,METSO,normal,0,100,%,{'$date': '2019-11-25T15:24:40Z'},0,0,PSI300,0,0
{'$oid': '60c0c8ada6310000240067b5'},115,SOUTHEASTORE_PRJ_OS::PSI300.ValueAssay4,,磨矿粒度150>113微米,Grinding size Indicator,磨矿粒度分析仪,METSO,normal,0,100,%,{'$date': '2019-11-25T15:24:40Z'},0,0,PSI300,0,0
{'$oid': '60c0c8f0a6310000240067b6'},116,SOUTHEASTORE_PRJ_OS::PSI300.ValueAssay5,,磨矿粒度113>74微米,Grinding size Indicator,磨矿粒度分析仪,METSO,normal,0,100,%,{'$date': '2019-11-25T15:24:40Z'},0,0,PSI300,0,0
{'$oid': '60c0c97aa6310000240067b7'},117,SOUTHEASTORE_PRJ_OS::PSI300.ValueAssay6,,磨矿粒度74>43微米,Grinding size Indicator,磨矿粒度分析仪,METSO,normal,0,100,%,{'$date': '2019-11-25T15:24:40Z'},0,0,PSI300,0,0
{'$oid': '60c0c9dfa6310000240067b8'},118,SOUTHEASTORE_PRJ_OS::PSI300.ValueAssay7,,磨矿粒度43>38微米,Grinding size Indicator,磨矿粒度分析仪,METSO,normal,0,100,%,{'$date': '2019-11-25T15:24:40Z'},0,0,PSI300,0,0
{'$oid': '60c0cad8a6310000240067b9'},119,SOUTHEASTORE_PRJ_OS::PSI300.ValueAssay8,,磨矿粒度<38微米,Grinding size Indicator,磨矿粒度分析仪,METSO,normal,0,100,%,{'$date': '2019-11-25T15:24:40Z'},0,0,PSI300,0,0
{'$oid': '60ce0f1d546a000019001103'},120,SOUTHEASTORE_PRJ_OS::DIC-311TH01B_Diaph/PID.PV_Out#Value,#1 Thickener Discharge Concentration,#1浓密机出料浓度-排尾,DIC-311TH01B,Density Indicator,浓度计,METSO,normal,0,70,%,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '60ce0f38546a000019001104'},121,SOUTHEASTORE_PRJ_OS::DIC-311TH02B_Diaph/PID.PV_Out#Value,#2 Thickener Discharge Concentration,#2浓密机出料浓度-排尾,DIC-311TH01B,Density Indicator,浓度计,METSO,normal,0,70,%,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '60d255a0cffed193fe6c4986'},122,NULL,MIXER NUMBER CONNECTED BY #1 THICKENER,被#1浓密机连接的搅拌机编号,NULL,NULL,逻辑值,INTELLEGENCE,normal,0,2,NULL,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '60d255fdcffed193fe6c606b'},123,NULL,MIXER NUMBER CONNECTED BY #2 THICKENER,被#2浓密机连接的搅拌机编号,NULL,NULL,逻辑值,INTELLEGENCE,normal,0,2,NULL,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '60ddb4a1d15f0000760044b2'},124,SOUTHEASTORE_PRJ_OS::DIC-311TH01B_Back/MonAnalog1.PV_Out#Value,#1 Thickener Discharge Density,#1浓密机出料密度,DIC-311TH01A,Density Indicator,浓度计,METSO,normal,-99999999,2,%,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '60ddb4c8d15f0000760044b3'},125,SOUTHEASTORE_PRJ_OS::DIC-311TH02B_Back/MonAnalog1.PV_Out#Value,#2 Thickener Discharge Density,#2浓密机出料密度,DIC-311TH02A,Density Indicator,浓度计,METSO,normal,-99999999,2,%,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '60ddbf49806e0000a90010b2'},126,SOUTHEASTORE_PRJ_OS::DIC-311TH01B_Back/BackFillingDiCtr.DI_PV#Value,#1 Thickener Discharge Density,#1浓密机出料浓度,DIC-311TH01B,Density Indicator,浓度计,METSO,normal,-99999999,70,%,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '60ddbf8c806e0000a90010b3'},127,SOUTHEASTORE_PRJ_OS::DIC-311TH02B_Back/BackFillingDiCtr.DI_PV#Value,#2 Thickener Discharge Density,#2浓密机出料浓度,DIC-311TH02B,Density Indicator,浓度计,METSO,normal,-99999999,70,%,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
